index,name,year,hardware,related_game,is_link,id,thumbnail_url
90,"Excitebike",1984,"Nintendo Entertainment System","",False,"07c679cb-ba16-45e1-ad13-38db720f1c56","https://image-assets.m.nintendo.com/d6619753-7add-4782-a7cc-101d39f4624a"
91,"Balloon Fight",1985,"Nintendo Entertainment System","",False,"2d4ad55e-d6e7-487a-b75c-29be33751cff","https://image-assets.m.nintendo.com/be7f5ce8-15a3-4437-8a4f-b05790fd8a1e"
92,"Ice Climber",1985,"Nintendo Entertainment System","",False,"7fac41f7-34c7-4384-a5f7-fdfbeddbcecc","https://image-assets.m.nintendo.com/7492fd19-7d97-4d8a-a81f-70585904c46b"
93,"Soccer",1985,"Nintendo Entertainment System","",False,"69cb9b80-6b28-4d24-b5c3-22cac1261349","https://image-assets.m.nintendo.com/e2b980f1-959b-4dca-827e-cd866d77aa87"
94,"Wrecking Crew",1985,"Nintendo Entertainment System","",False,"b96501dc-b61d-4a7a-9ec2-7c0f32f2b09f","https://image-assets.m.nintendo.com/43ba06c3-3fce-45e0-b936-c7a9985fb254"
95,"Stack-Up",1985,"Nintendo Entertainment System","Gyromite",False,"2ae5f5c7-eccb-43fb-99e6-5d86c40dd7ba","https://image-assets.m.nintendo.com/db60a381-8c43-4e57-a659-077c63cee7e1"
96,"Gyromite",1985,"Nintendo Entertainment System","Stack-Up",False,"85b83fcd-b5cf-4583-89a4-089f9e65caff","https://image-assets.m.nintendo.com/b8b4097a-3bdc-48d0-8f16-012908b0cbf7"
97,"Mach Rider",1985,"Nintendo Entertainment System","",False,"33d8695b-de51-498a-b687-7279548de28e","https://image-assets.m.nintendo.com/7ad39a96-d26b-4cf1-8150-e8aa32dd253d"
98,"Mario Paint",1992,"Super Nintendo Entertainment System","",False,"66760fd8-dda3-465a-86c8-21ebb25cc4ce","https://image-assets.m.nintendo.com/c7acb7c1-42e2-484a-a3dc-5f9de773f4e6"
99,"Pilotwings",1990,"Super Nintendo Entertainment System","Pilotwings 64|Pilotwings Resort",False,"9b2729ee-4fc6-44d3-a740-740874b80469","https://image-assets.m.nintendo.com/22e2fa41-098d-419e-ba05-211b958ee875"
100,"Pilotwings 64",1996,"Nintendo 64","Pilotwings|Pilotwings Resort",False,"f4695838-b0eb-4990-a4fc-fc3db54d2749","https://image-assets.m.nintendo.com/869dfc9f-dd5d-4528-af09-ee4e503c60ff"
101,"Pilotwings Resort",2011,"Nintendo 3DS","Pilotwings|Pilotwings 64",False,"779e3755-f7c0-41ef-8f93-3b38ef048638","https://image-assets.m.nintendo.com/5333e10f-2da2-458f-9112-a9271dc66208"
102,"Captain Toad: Treasure Tracker",2018,"Nintendo 3DS","",True,"fe1efa9b-003c-455d-af4f-e1f0c4b1334e","https://image-assets.m.nintendo.com/04899fae-3f92-4b7a-989f-fb5602bddb33"
103,"Captain Toad: Treasure Tracker",2014,"Wii U","",True,"ff77b569-5c0a-4596-9374-8e6af309d58b","https://image-assets.m.nintendo.com/8ecd6409-1a31-490a-b1f7-ad33d597656b"
104,"Captain Toad: Treasure Tracker",2018,"Nintendo Switch","",False,"c01093c9-916a-4e3e-8dd9-1d63401875bf","https://image-assets.m.nintendo.com/ffba1d56-a489-4241-a935-78d45bff552a"
105,"Fire Emblem Awakening",2012,"Nintendo 3DS","Fire Emblem Engage|Fire Emblem: Path of Radiance|Fire Emblem: The Blazing Blade",False,"9c6dfecb-7465-4ead-b7c5-ec6d1f33994b","https://image-assets.m.nintendo.com/d04949e5-2f4b-466b-9a90-e92f39135e8a"
106,"Golden Sun: The Lost Age",2002,"Game Boy Advance","Golden Sun",False,"cb9e5ab0-49e2-4ea8-81ec-ba23b069dedf","https://image-assets.m.nintendo.com/ad45fd45-a776-44be-a9cd-0ca490f8b9ed"
107,"超級瑪利歐銀河 ２",2025,"Nintendo Switch","New Super Mario Bros.|New 超級瑪利歐兄弟U 豪華版|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Galaxy|Super Mario Land|Super Mario World|超級瑪利歐 奧德賽|超級瑪利歐兄弟 驚奇",True,"5ea8411b-98fa-4da6-ba25-318ae2d2476c","https://image-assets.m.nintendo.com/491d7e89-cc09-447a-96c0-8e5f967094e3"
108,"Super Mario Galaxy 2",2010,"Wii","New Super Mario Bros.|New 超級瑪利歐兄弟U 豪華版|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Galaxy|Super Mario Land|Super Mario World|超級瑪利歐 奧德賽|超級瑪利歐兄弟 驚奇",False,"ba620758-ff7a-412c-8c4e-041ffe67566a","https://image-assets.m.nintendo.com/d196e1f4-06ca-4e2b-a44d-ae64a819df00"
109,"Zelda II - The Adventure of Link (Famicom Disk System)",1987,"Nintendo Entertainment System","The Legend of Zelda (Famicom Disk System)|The Legend of Zelda (NES)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Phantom Hourglass|The Legend of Zelda: Skyward Sword|The Legend of Zelda: The Wind Waker|Zelda II - The Adventure of Link (NES)|薩爾達傳說 時之笛 3D|薩爾達傳說 曠野之息|薩爾達傳說 王國之淚",False,"7e9fc7d7-2d35-4017-b056-32b610d43dd7","https://image-assets.m.nintendo.com/6e855c5b-855f-4043-9041-06fcb3b793a6"
110,"Zelda II - The Adventure of Link (NES)",1988,"Nintendo Entertainment System","The Legend of Zelda (Famicom Disk System)|The Legend of Zelda (NES)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Phantom Hourglass|The Legend of Zelda: Skyward Sword|The Legend of Zelda: The Wind Waker|Zelda II - The Adventure of Link (Famicom Disk System)|薩爾達傳說 時之笛 3D|薩爾達傳說 曠野之息|薩爾達傳說 王國之淚",False,"fb570103-81ac-4b8f-8aca-81e370efac79","https://image-assets.m.nintendo.com/441de69e-1bcb-4a34-a237-b2cd620a0d7b"
111,"碧姬公主 表演時刻！",2024,"Nintendo Switch","",False,"8b96dd77-276f-4fb1-8f41-0b74dfa7555c","https://image-assets.m.nintendo.com/ae7a810c-0537-42e1-bbac-8a60168f0f82"
112,"Paper Mario: The Thousand-Year Door (GameCube)",2004,"Nintendo GameCube","紙片瑪利歐RPG（Nintendo Switch）|紙片瑪利歐：摺紙國王",False,"abf47dbf-18aa-4024-bb2e-3d6b5a966728","https://image-assets.m.nintendo.com/1a801d00-1f16-44e4-911b-1edca9e3c7df"
113,"紙片瑪利歐RPG（Nintendo Switch）",2024,"Nintendo Switch","Paper Mario: The Thousand-Year Door (GameCube)|紙片瑪利歐：摺紙國王",False,"17503f02-da6b-46c7-8481-a1ed974451c6","https://image-assets.m.nintendo.com/43e2f134-4604-430d-8f8d-4d7827114808"
114,"Metroid II - Return of Samus",1991,"Game Boy","Metroid (Famicom Disk System)|Metroid (NES)|Metroid Prime",False,"2f76e24d-332a-4828-b185-109540d94fa4","https://image-assets.m.nintendo.com/5da3af77-ba26-4eb5-9e64-80eb6b55460c"
115,"New Super Mario Bros.",2006,"Nintendo DS","New 超級瑪利歐兄弟U 豪華版|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Galaxy|Super Mario Galaxy 2|Super Mario Land|Super Mario World|超級瑪利歐 奧德賽|超級瑪利歐兄弟 驚奇",False,"cb7c3bca-4a8b-4273-855a-bb6e47dfc5e3","https://image-assets.m.nintendo.com/49fe045f-1eab-444b-b4d9-458eea0e9b7e"
116,"Animal Crossing: New Leaf",2012,"Nintendo 3DS","集合啦！動物森友會",False,"00a1d178-fb71-49fc-b835-74ebaec97474","https://image-assets.m.nintendo.com/796b2617-3536-4467-b183-b87227a53393"
117,"卡比的美食節",2022,"Nintendo Switch","Kirby's Dream Land|星之卡比 探索發現|星之卡比 新星同盟",False,"eb49a973-97d3-4ced-9131-0883a7f400ee","https://image-assets.m.nintendo.com/784fe63e-2027-4c8c-999c-f61f0a748de4"
118,"Wii Fit",2007,"Wii","",True,"cf340f42-165c-4939-8ba5-39b2b99ec038","https://image-assets.m.nintendo.com/fcb7bb4d-9850-41ab-9c30-98e9f89e9879"
119,"Wii Fit Plus",2009,"Wii","",False,"177f02d4-bfd9-4b46-8b1b-c91896eba711","https://image-assets.m.nintendo.com/508f66b4-07ea-4387-9879-184c26f6ae4d"
120,"超級瑪利歐派對 空前盛會 Nintendo Switch 2 Edition + 空前盛會TV",2025,"Nintendo Switch 2","",True,"6c2bf71d-68a6-4d74-9862-24b3201fc77b","https://image-assets.m.nintendo.com/abb90fcb-288b-4752-bd5c-27e838e1d5ff"
121,"超級瑪利歐派對 空前盛會",2024,"Nintendo Switch","",False,"4c2068b3-8d28-4932-833f-4d2e45d919d6","https://image-assets.m.nintendo.com/30f2b68b-04a7-4fa9-9706-27411547cf05"
122,"耀西的手工世界",2019,"Nintendo Switch","Super Mario World 2: Yoshi's Island|Yoshi's Story",False,"eab54875-dfcf-42d8-b704-2d107b83041a","https://image-assets.m.nintendo.com/9872ae61-11c4-4ae7-b7ef-06e1956789ef"
123,"Super Mario Land",1989,"Game Boy","New Super Mario Bros.|New 超級瑪利歐兄弟U 豪華版|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Galaxy|Super Mario Galaxy 2|Super Mario World|超級瑪利歐 奧德賽|超級瑪利歐兄弟 驚奇",False,"fd0d6fc0-497a-4b4a-ba13-e704d244049c","https://image-assets.m.nintendo.com/03c74b3a-c3e8-499d-9382-7221a602ea07"
124,"Wii Party",2010,"Wii","",False,"08ff5876-6b8b-4bed-a975-7e799687e8bb","https://image-assets.m.nintendo.com/f667af94-5c78-4ec4-8e04-3d31dcec95ee"
125,"Fire Emblem: Path of Radiance",2005,"Nintendo GameCube","Fire Emblem Awakening|Fire Emblem Engage|Fire Emblem: The Blazing Blade",False,"85b5a471-ea3a-4a30-9d76-f3dbc40ccee0","https://image-assets.m.nintendo.com/2d9b222a-6042-4faa-907d-089471004424"
126,"瑪利歐&路易吉RPG 兄弟齊航!",2024,"Nintendo Switch","",False,"d0adeb68-35ec-4e1d-801a-4e6a84fc1fbf","https://image-assets.m.nintendo.com/3a7b4853-92f6-4b67-8d25-8a766af04d0d"
127,"The Legend of Zelda: Phantom Hourglass",2007,"Nintendo DS","The Legend of Zelda (Famicom Disk System)|The Legend of Zelda (NES)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Skyward Sword|The Legend of Zelda: The Wind Waker|Zelda II - The Adventure of Link (Famicom Disk System)|Zelda II - The Adventure of Link (NES)|薩爾達傳說 時之笛 3D|薩爾達傳說 曠野之息|薩爾達傳說 王國之淚",False,"c1a388f3-f88b-4a05-a45c-de828d1c9af8","https://image-assets.m.nintendo.com/26da7b27-7dbb-4c9c-bca8-12485645aa93"
128,"WarioWare, Inc.: Mega Microgame$!",2003,"Game Boy Advance","",False,"8fb7c898-dd32-4fb5-b773-8df9a2d57cbb","https://image-assets.m.nintendo.com/1ae21a57-6b49-445d-bcb3-be69ba91c635"
129,"Tomodachi Life",2013,"Nintendo 3DS","Tomodachi Collection",False,"7270dfb0-c05e-40a9-a342-4695a9b6fda4","https://image-assets.m.nintendo.com/fe0443ce-a3be-4411-be41-03df4c22bc7d"
130,"紙片瑪利歐：摺紙國王",2020,"Nintendo Switch","Paper Mario: The Thousand-Year Door (GameCube)|紙片瑪利歐RPG（Nintendo Switch）",False,"43fc1ee8-45ce-4e66-b8db-2b3ab64e9651","https://image-assets.m.nintendo.com/165860da-fd63-4402-a99e-b6e0cde6d13f"
