index,name,duration,isLoop,isBest,playlist,id,thumbnailURL
59,"Chase the Bunnies!",64846,True,False,"","962133e5-88a0-4cd5-a491-ca7563dffc4d","https://image-assets.m.nintendo.com/a8c6b3bc-0d14-471f-9cc0-d231c0ee5c2c"
60,"Help!",25426,True,False,"","424d01d8-8f3c-44ec-a17b-fe45bd5fcb45","https://image-assets.m.nintendo.com/415bc6ba-8e24-4396-a44e-805183bb967c"
61,"Major Burrows",52638,True,True,"Boss Battles","2b27c17b-dd5b-4258-86b5-030e77eab066","https://image-assets.m.nintendo.com/f19e2453-43c0-4c6a-a81b-17d84578a099"
62,"Pipe Interior",41548,False,False,"","0d6ea4f4-510e-48d8-a3e5-13e3f111e7e0","https://image-assets.m.nintendo.com/90e1cc78-f9ca-4364-ad70-2dd9f13a060b"
63,"Cosmic Comet",55300,True,True,"","190bd58b-1df0-4dbd-9e7f-d4ebc1883d23","https://image-assets.m.nintendo.com/14418726-eb78-4791-b7e8-736e43d21a48"
64,"Drip Drop Galaxy",76637,True,True,"Galaxy Tour","8dc38c7d-ce52-4abd-83e1-6113b7abf1bb","https://image-assets.m.nintendo.com/95dd173c-445c-4a10-8440-d6425d173c83"
65,"Kingfin",105651,False,True,"Boss Battles","42df9492-72b0-4297-b93f-c7cf6b058d68","https://image-assets.m.nintendo.com/94bfdae1-cc54-40c2-8327-ca6b90b19f91"
66,"Boo Race",85913,False,False,"Boo","9e58789f-ea03-4335-adee-80bd8a2ce78b","https://image-assets.m.nintendo.com/d3b1a6b6-9304-4fd0-8902-39793f31f368"
67,"Ice Mountain",88671,True,True,"Galaxy Tour","bfe3d686-a3a1-4222-b050-972373604b7d","https://image-assets.m.nintendo.com/7107b20b-5950-4106-be30-50cc9e2a199d"
68,"Ice Mario",27552,False,False,"","55897443-3296-4e41-984e-706ebe8c6bb4","https://image-assets.m.nintendo.com/c3561cc9-8a7b-4c99-b372-dd119de0eca9"
69,"Lava Path",88655,True,True,"Galaxy Tour","fd4bcb1d-8a35-4072-9670-8b82d96b14a3","https://image-assets.m.nintendo.com/fad4361e-6145-41d7-8234-be667feac97d"
70,"Fire Mario",26514,False,False,"","f02778c9-8648-4593-a20c-946de8058cd5","https://image-assets.m.nintendo.com/ef26ff73-f8ce-4b1e-bc21-3dfc93664fd3"
71,"Dusty Dune Galaxy",181646,True,True,"Galaxy Tour","53a58ad8-66ea-49cb-90ae-13338596c0d7","https://image-assets.m.nintendo.com/307cd5ae-d0f8-4f59-a85d-83d9a537cf8a"
72,"Heavy Metal Mecha-Bowser",80238,True,True,"Boss Battles","f2c6e6ca-c7ef-4394-baff-5a10d49b1629","https://image-assets.m.nintendo.com/d3de3536-b822-4f7c-bd7d-cf37d2172694"
73,"A-wa-wa-wa!",34648,True,True,"Boss Battles","8a2e9e45-051e-458d-95bb-86360248dfcd","https://image-assets.m.nintendo.com/67e726f0-27c8-4967-9adc-272f52af829c"
74,"Deep Dark Galaxy",100063,True,True,"Galaxy Tour","5f18769e-daef-4cd5-b574-a269aabc865e","https://image-assets.m.nintendo.com/848d51a2-8af6-470b-bbe1-96df430fc0d6"
75,"Kamella",82774,True,True,"Boss Battles","bf32127f-3a08-4af9-932f-0bf2c3b962c3","https://image-assets.m.nintendo.com/61878e26-039e-4b89-a9c6-53b4f2096adf"
76,"Star Ball 2",39732,True,False,"","8fcd9c9c-4a1b-4892-b123-f61068728109","https://image-assets.m.nintendo.com/8660246c-a9c0-4cdd-abad-74433bc6d1bc"
77,"Sad Girl",45794,True,False,"Rosalina","9b0570d4-c227-4e8c-82ab-a5154c8bd679","https://image-assets.m.nintendo.com/dc92d77d-0745-4d3b-a9c4-529a210ae010"
78,"Flying Mario",68689,False,False,"","c8409f69-cde1-440d-b43a-b05dcdf854a2","https://image-assets.m.nintendo.com/8365a586-9a76-4737-9fb0-d87a041fe169"
79,"Star Child",48548,True,False,"Rosalina","de58ae63-3bd1-4632-9629-26711407a3a9","https://image-assets.m.nintendo.com/1e8cd3f9-fd77-4d20-bb61-e9faf5a0478d"
80,"A Wish",38478,False,False,"","90746b76-c74a-472f-9100-f0ea193b40ed","https://image-assets.m.nintendo.com/9cc73c23-8c5d-4e74-93d8-a7c5e8f66cbb"
81,"Family",80927,False,False,"Rosalina","c6119388-b01d-4d55-9614-f4e8fd28a540","https://image-assets.m.nintendo.com/264ecf02-ac85-47df-9d83-8fbbbab7e54d"
