index,name,duration,isLoop,isBest,playlist,id,thumbnailURL
1,"タイトル",140270,True,True,"","3f8060ef-e0f4-499f-ace9-38723492fe78","https://image-assets.m.nintendo.com/fed28ddf-3f12-485f-bf50-00e4d5115844"
2,"トップメニュー",40424,True,True,"","3356cd08-8ad9-46c3-a102-3a804fe58bfc","https://image-assets.m.nintendo.com/581b81e5-b924-4b88-9710-1d6dde83b53e"
3,"あそびかた",48396,True,True,"","ec25ed03-9143-4b1f-931d-65d4f29bded0","https://image-assets.m.nintendo.com/662946fc-4604-441d-97e7-605f89ea06b6"
4,"テニス：プレイヤー選択",48151,True,True,"","96c75f58-13fc-4be6-a9e9-f336575dd12d","https://image-assets.m.nintendo.com/89199cb6-85fe-4e4b-81de-fd6e2b7b44af"
5,"テニス：フィニッシュシーンリプレイ",52288,True,False,"","7b16a2ba-4291-428a-8ea4-018f96149e3a","https://image-assets.m.nintendo.com/ada04012-da42-4b4e-b31c-8457a8f66180"
6,"テニス：リザルト",78151,True,True,"","12bba35d-5529-4f6a-aa66-88d77636ce2c","https://image-assets.m.nintendo.com/52a917d4-e9dc-41c8-8f5c-8764c51e3f56"
7,"テニス：トレーニング",161668,True,False,"トレーニング","6ebf8e81-9480-4ccc-945f-97bd565420d6","https://image-assets.m.nintendo.com/98296c5b-97bd-4a91-bc93-329db30556e1"
8,"ベースボール：試合開始ファンファーレ",8253,False,True,"","2a9e9684-8134-4995-8698-8f1f9ee76e0b","https://image-assets.m.nintendo.com/3c7501dc-3bc4-44dd-b569-a5252b1a326e"
9,"ベースボール：リザルト",49905,True,True,"","e0718877-552d-4c63-9877-80571539bf6f","https://image-assets.m.nintendo.com/08869047-430f-455c-b144-c07aae0fe33a"
10,"ベースボール：トレーニング",141919,True,False,"トレーニング","491b8e6c-0479-4813-8840-edfc24a29e0e","https://image-assets.m.nintendo.com/f2a28fe3-f858-4383-b834-7de2957da30b"
11,"ボウリング：ゲームスタート",6437,False,False,"","7c236f20-bfe1-4815-bdc5-3d047444d284","https://image-assets.m.nintendo.com/241f153a-bb84-4538-9fdc-d2f928589562"
12,"ボウリング：場内BGM",161919,True,True,"","af6788e1-d401-4594-baa6-9e8b6f091315","https://image-assets.m.nintendo.com/afbd688e-199c-457e-af8e-b96b61875c6a"
13,"ボウリング：リザルト",53099,True,True,"","45f35af1-75b7-4cb3-bdc2-3dcc3cf7c41b","https://image-assets.m.nintendo.com/b7012dec-67db-48a0-a626-377681fe4a37"
