index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"マリパがはじまるよ！",213400,False,True,"カメック","みんなでいっしょに","Nintendo Musicピックアップ集","3ab255bc-5d15-452c-9cfd-ae3037efaa34","https://image-assets.m.nintendo.com/95d09979-ffed-46d4-b145-945063ba17f9"
2,"スーパー マリオパーティ ジャンボリー",109100,True,True,"","タイトル画面|元気を出して","Nintendo Musicセレクション|Nintendo Musicピックアップ集|Nintendo Switchセレクション|マリオセレクション","a3340444-2d85-4587-b20b-be9a5638fc22","https://image-assets.m.nintendo.com/6caf173c-eb2a-46e1-bac1-f74be0681cef"
3,"広場でお買い物",125516,True,True,"","","Nintendo Musicピックアップ集","98e8b42b-2b32-48c0-bbbb-106893b8499e","https://image-assets.m.nintendo.com/846bfbec-f90e-430e-942c-db8801b5b9b2"
4,"どこで遊ぼう",118093,True,True,"","","Nintendo Musicピックアップ集","6961ec70-e1db-46b9-b0f5-f07dccd3f20a","https://image-assets.m.nintendo.com/fc654711-9429-44cf-9fc5-5430ab4e7a22"
5,"パーティが始まるよ",71718,True,True,"","みんなでいっしょに","Nintendo Musicセレクション|Nintendo Musicピックアップ集|Nintendo Switchセレクション|マリオセレクション","05eeb5e4-7418-4fa8-8eb5-110b49b99a4d","https://image-assets.m.nintendo.com/f6001fc3-92ea-4779-8adf-82d584139118"
6,"巨大ハナチャンとお菓子の森～オープニング",15580,False,False,"スゴロクの島|ハナチャン","","","9470ca7e-ef49-4ab3-8f4d-603546b5d54f","https://image-assets.m.nintendo.com/e5a36654-3e79-42b0-a3ff-9ce73ed9999b"
7,"巨大ハナチャンとお菓子の森1",204241,True,True,"スゴロクの島|ハナチャン","春に聴きたい","Nintendo Musicピックアップ集","5f1db575-2642-4763-ad5e-71b9b244c8f1","https://image-assets.m.nintendo.com/2660b75f-c671-46d7-a9cc-83c136079e27"
8,"巨大ハナチャンとお菓子の森1～ハナチャンの背中",214883,True,True,"スゴロクの島|ハナチャン","おやすみなさい","Nintendo Musicピックアップ集","dd86ed94-1d36-4ceb-8907-cc2bff3fd2e6","https://image-assets.m.nintendo.com/37d25aa1-0ca7-4750-9b20-9201bd396010"
9,"森のドキドキイベント",52560,True,False,"スゴロクの島","","","23c7507c-ca04-4e09-b44d-4c4e71a9f2b4","https://image-assets.m.nintendo.com/d80ae1c9-ddc6-4556-93fa-daa219ddb187"
10,"ごきげん巨大ハナチャン",56989,True,False,"スゴロクの島|ハナチャン","ウォーキング","","9bb5de70-9cc9-41ea-b9c8-ce00d60418e8","https://image-assets.m.nintendo.com/7fb61c3e-ea7b-4584-8645-2a0b8dbc26ec"
