index,name,duration,isLoop,isBest,playlist,id,thumbnailURL
47,"イマ・ヌラネバー！ / テンタクルズ",66439,False,True,"フェス/テンタクルズ","3f426405-7bf7-490b-8158-565b323fa901","https://image-assets.m.nintendo.com/052b5fb2-c025-44bd-a2a4-bccc873461f1"
48,"フェスマッチ 勝ちジングル / テンタクルズ",4945,False,False,"フェス","3a03cc9c-b850-46c4-aead-f23e63de6e33","https://image-assets.m.nintendo.com/032110e2-9ec2-41a3-a177-f50047fb2680"
49,"フェスティバル・ゼスト / テンタクルズ",124687,True,False,"フェス/テンタクルズ","ede91b4d-35e6-464a-b73a-75f3502125b7","https://image-assets.m.nintendo.com/39ad1f4a-9e10-4b92-b534-72e8cb98595c"
50,"フェスマッチ 負けジングル / テンタクルズ",6747,False,False,"フェス","c1894b68-d94f-41a7-9d11-cda893420ad0","https://image-assets.m.nintendo.com/a5d00bbd-eaba-4e24-b784-003d3f0f85e1"
51,"パーティーズ・オーバー / テンタクルズ",110203,True,False,"フェス/テンタクルズ","43ccff2b-02da-4c9a-984f-3d4d2986504a","https://image-assets.m.nintendo.com/31eaf793-276f-4cbe-81b0-954bfa899710"
52,"フェス 最終結果発表 / テンタクルズ",4913,False,False,"フェス","f606aaeb-bb95-478f-9dee-6e290b71c760","https://image-assets.m.nintendo.com/d2230112-d5dc-411b-a90d-e1003eb83e79"
53,"ゲットジングル",3640,False,False,"フェス","e175823c-f72c-4de9-9320-86999145b3be","https://image-assets.m.nintendo.com/1567e3d7-981c-4056-a0e8-4fe5c5b5c336"
54,"スミソアエの朝",105710,True,False,"ヒーローモード","df153a2b-0567-40e0-9d21-227938ade1b7","https://image-assets.m.nintendo.com/bfab4c4d-ee0c-45aa-a986-d074d2385e68"
55,"タコツボキャニオン / OCTOTOOL",212305,True,True,"OCTOTOOL/ヒーローモード","01a46ce6-aaf3-4d64-93d3-78eec42360c1","https://image-assets.m.nintendo.com/563b93c6-df12-4cd5-967c-d19356bdeb18"
56,"Eighteen-Legged Concerto / OCTOTOOL",187877,True,True,"OCTOTOOL/ヒーローモード","9c94e8de-c131-4b68-94e8-6e64127de0f8","https://image-assets.m.nintendo.com/9a6e57de-d4bb-45c5-810d-c8ee368c439e"
57,"The Girl from High-Color / OCTOTOOL",168324,True,False,"OCTOTOOL/ヒーローモード","88ebd631-b807-4828-b4a2-340f0ff604b4","https://image-assets.m.nintendo.com/0caf619a-a114-4658-b3ed-61f9df0a6889"
58,"Buoyant Boogie / OCTOTOOL",155917,True,False,"OCTOTOOL/ヒーローモード","098fe9af-aa69-40b7-be76-1420a36b4a48","https://image-assets.m.nintendo.com/66120c52-1151-49c5-a8e2-f1dfb8df905f"
59,"Shooting Starfish / OCTOTOOL",168512,True,False,"OCTOTOOL/ヒーローモード","f84aaa6d-8c4d-486d-8fe9-0b48918c44f9","https://image-assets.m.nintendo.com/e4b9c699-ef38-4441-92d8-2bc75fa0e9d3"
60,"Tentacular Circus / OCTOTOOL",124047,True,False,"OCTOTOOL/ヒーローモード","6ea4484a-ec7d-4fdb-93e2-02f844f68acf","https://image-assets.m.nintendo.com/bf802017-93cc-4e79-9e93-57b0275da3f8"
61,"Cephaloparade / OCTOTOOL",188924,True,False,"OCTOTOOL/ヒーローモード","2012f5c5-81d9-499b-be3a-77fbb3ba38ea","https://image-assets.m.nintendo.com/071a7671-36cb-426f-9c95-b87e9094881e"
