index,name,duration,isLoop,isBest,playlist,id,thumbnailURL
34,"Culinary Disaster",4700,False,False,"","36883a7c-e5e9-4c4f-b8da-fee3d8a5b373","https://image-assets.m.nintendo.com/24b678b4-5794-48bb-9bc1-6a8549ec67d7"
35,"Culinary Triumph",4831,False,False,"","34556d25-f1e3-466f-9ebd-e338bbed7e6f","https://image-assets.m.nintendo.com/7021d565-9a60-4cb3-9b14-81042b138634"
36,"Culinary Perfection",5388,False,False,"","fca462d0-b613-4304-9651-c395d3fa88db","https://image-assets.m.nintendo.com/d1fb1d96-2281-45fb-b12d-5b5b884434aa"
37,"Hateno Village",346008,False,True,"原野","3784be71-c0c5-4543-8e55-3db38a9100e2","https://image-assets.m.nintendo.com/506c990c-732d-4a51-a0d2-e6a5d429f868"
38,"Dyeing Cloth",8082,False,False,"","849b63c2-0174-4706-873d-216dc1709ce8","https://image-assets.m.nintendo.com/1de99e5b-b184-45da-9fda-fbe500d5c0d8"
39,"Reverting Cloth",8297,False,False,"","75d091f2-cd9c-4d21-8883-b0542efce002","https://image-assets.m.nintendo.com/aa5465f6-99c8-49f1-9e55-5cefa0a37268"
40,"Bolson Construction",5527,False,False,"海拉鲁的人们","318d1db1-44ed-4e54-ab59-84bd2b1b94ef","https://image-assets.m.nintendo.com/f388411f-9a09-4385-beae-41225646f28f"
41,"Hateno Ancient Tech Lab",181495,True,True,"海拉鲁的人们","d43b4bf2-d908-4572-b2cb-bc24a5a934aa","https://image-assets.m.nintendo.com/44e6e866-9cb2-4969-963c-c4f8ff3b81ef"
42,"Restoring a Great Fairy's Power",20488,False,False,"","c6fcca44-0189-4855-96c5-91c5cdabf754","https://image-assets.m.nintendo.com/68b2ed16-c423-47d7-a6fc-e2a72569572b"
43,"Great Fairy Fountain",98695,True,True,"海拉鲁的人们/原野","adadaa9b-0ecc-46c5-93f4-0d1dcfeff4f2","https://image-assets.m.nintendo.com/4081de1e-1ffe-435a-9432-8f9ecd32f867"
44,"Overworld (Night)",243803,False,True,"原野","ffb7f898-2bbf-4f2e-bae9-e481c05a6ed6","https://image-assets.m.nintendo.com/05c61dc1-5aac-4efe-b365-ff8015f9ec61"
45,"Kass's Theme",68132,True,True,"海拉鲁的人们/卡西瓦","8de8bd64-838d-40e1-8db4-e9e92382dd5a","https://image-assets.m.nintendo.com/493b9656-2183-4568-ad10-656582a8f116"
46,"Kass: Songs of Shrines",138382,False,False,"卡西瓦","71437029-b4d7-4bd0-b0c5-8467b2051855","https://image-assets.m.nintendo.com/3f994c80-e0d6-4c87-ac6a-045f02e290e3"
47,"The Stables",137420,True,True,"卡西瓦/原野","f72eb3d4-aa1e-47f4-809d-b1487d4b5832","https://image-assets.m.nintendo.com/4ee16872-9d53-4c46-9ec4-88b903b95cef"
48,"Kass: Legendary Verse",54014,False,False,"卡西瓦","8a27617e-454e-405a-836a-5bf32fa0e1bf","https://image-assets.m.nintendo.com/ced9b269-401d-4f1f-9f10-5424e580b475"
49,"Passing Time by the Fire",6094,False,False,"","0f9748b7-36cc-4fd4-ba09-aa767dadd006","https://image-assets.m.nintendo.com/b8383660-a587-4bd8-90e5-e08921716fa1"
50,"Overnight Stay (Regular Bed)",6211,False,False,"","4c005752-abf1-4a81-8df7-e24b2f6e3024","https://image-assets.m.nintendo.com/13cc86a5-060b-4a6b-ad1d-c362794c4bcf"
