index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"Title BGM",95514,True,True,"","标题画面","80c04bd9-1285-4902-87d1-e8587045b920","https://image-assets.m.nintendo.com/266f0834-2703-4a21-bc9b-daefc322a64e"
2,"Yoshi's Island (Map Screen)",35388,True,True,"Dinosaur Land|耀西","","05c1a0e2-acb3-4de5-a00e-f1e790d87239","https://image-assets.m.nintendo.com/d5ecb575-d176-4efb-a9bd-503479dd021c"
3,"Ground BGM",99221,True,True,"关卡","冒险的开始|打起精神来|步行","560c86d4-baf6-4bcd-894c-b4e200c814e8","https://image-assets.m.nintendo.com/ba6600d2-f158-4ef9-819b-187a09f6707c"
4,"\"Hurry Up!\"",1991,False,False,"","","0bf6b67a-43d9-46fb-83c2-c9a2456c5569","https://image-assets.m.nintendo.com/14dd0005-4383-4b00-9133-26386adca133"
5,"\"Hurry Up!\" Ground BGM",86315,True,False,"关卡","","c2b91d27-1acb-47a2-8e45-932e2d6b8749","https://image-assets.m.nintendo.com/cb64dacb-47f1-4619-9224-43a71f53dc85"
6,"Yoshi Ground BGM",99275,True,False,"关卡|耀西","","08fa800a-9927-4c11-b4b9-464b0f7054ce","https://image-assets.m.nintendo.com/af8d068c-8d13-43f5-b5b0-a72ad7276ba4"
7,"\"Hurry Up!\" Yoshi Ground BGM",86310,True,False,"关卡","","db824332-fd77-49c8-9041-31a66113dc43","https://image-assets.m.nintendo.com/afc0fb9f-3522-4057-8efd-6dab72c9bf0f"
8,"P Switch BGM",36094,True,False,"","","6990d6a3-3bd9-4552-ac07-c4ced2c05f1f","https://image-assets.m.nintendo.com/e3275ce2-2f69-446c-b8bf-53fe4cc3a8f8"
9,"\"Hurry Up!\" P Switch BGM",32436,True,False,"","","f7516b39-9427-44da-a24e-5e695f19e22e","https://image-assets.m.nintendo.com/cb2135a2-e1e2-45e7-95df-b0343957fef2"
10,"Course Clear",7490,False,True,"","","393dbdc6-bd2a-4b36-bbdf-82c757c040b2","https://image-assets.m.nintendo.com/a5ceb832-14ec-402b-a49d-edde916488ee"
11,"Donut Plains (Map Screen)",69335,True,True,"Dinosaur Land","","da838779-1f2e-4a6c-a2d1-ac61b77a7b1b","https://image-assets.m.nintendo.com/15bd25ba-ea10-4cba-9971-1cc182c92f22"
12,"Athletic BGM",101360,True,True,"关卡","打起精神来|跑步","99f1de1b-868f-4f66-8d70-4fb3c1755a26","https://image-assets.m.nintendo.com/0a1f8890-c2c9-43fe-aa94-fcc41cd1c572"
13,"\"Hurry Up!\" Athletic BGM",89844,True,False,"关卡","","9e907d96-ff1b-4333-9d45-01e30472a9d9","https://image-assets.m.nintendo.com/88e8f097-b3de-4df9-a371-6a2462d8f386"
14,"Yoshi Athletic BGM",101359,True,False,"关卡|耀西","","3e95ba78-ac5c-4b95-a7fd-ff6548f6a233","https://image-assets.m.nintendo.com/0e771a4f-6fd0-4ae7-aa7d-025c55180bb0"
15,"\"Hurry Up!\" Yoshi Athletic BGM",89848,True,False,"关卡","","aa56f619-3c6d-475a-ac89-9be68d257fe4","https://image-assets.m.nintendo.com/ec0e86cb-97d2-47a7-b885-7bac44deb80e"
16,"Invincibility BGM",28878,True,False,"","","5e8908ba-8483-46bd-88c7-445e6d4b2be5","https://image-assets.m.nintendo.com/e9218bdd-c3fc-4448-8349-fb3fbe01b676"
17,"\"Hurry Up!\" Invincibility BGM",38595,True,False,"","","fa3c0db9-0368-41c4-860b-4ae9383c541f","https://image-assets.m.nintendo.com/c453bc59-96c2-48d4-ae35-9a8834d11d75"
18,"Bonus Game BGM",84763,True,True,"","打起精神来|跑步","1f50e0d6-18fd-4f06-abac-6a55b9c9beb7","https://image-assets.m.nintendo.com/5ccef0ab-013b-4568-a18e-b5a281c23b52"
19,"Bonus Game Clear",3037,False,False,"","","6425c34c-8b29-4545-965b-d8198981217d","https://image-assets.m.nintendo.com/fa3569e8-3c8d-4372-b8af-85d1e4f25981"
20,"Vanilla Dome (Map Screen)",53311,True,True,"Dinosaur Land","","9dd09b28-252e-4efb-b224-d1e5cfc2093a","https://image-assets.m.nintendo.com/6e9178f6-926d-4f23-a395-6ff099c9689a"
21,"Underground BGM",102868,True,True,"关卡","","568c59c2-eff8-4ede-8901-ea468c97d78b","https://image-assets.m.nintendo.com/8637ce53-79ac-435f-acda-24c02574effe"
22,"\"Hurry Up!\" Underground BGM",83771,True,False,"关卡","","41b724ac-0e1e-4929-a4b6-2f523f221141","https://image-assets.m.nintendo.com/fcbeac6d-82e6-44c4-badd-5f815615a32f"
23,"Yoshi Underground BGM",102871,True,False,"关卡|耀西","","8d15210c-d058-4ab1-8ceb-3c7f08e1c6bf","https://image-assets.m.nintendo.com/6b65c571-beac-4c87-9df6-7721a4013c06"
24,"\"Hurry Up!\" Yoshi Underground BGM",83769,True,False,"关卡","","3471864f-0c17-4bc9-b9f7-65d9cea4ac42","https://image-assets.m.nintendo.com/f996e150-6f22-4d51-a8b0-79006ea06ba7"
25,"Underwater BGM",116289,True,True,"关卡","放松一下","34827ec1-0e04-4e45-bf3f-ddb7d51564b0","https://image-assets.m.nintendo.com/35ec506e-6b90-4e68-a3cc-60ac7d16de82"
26,"\"Hurry Up!\" Underwater BGM",99743,True,False,"关卡","","cecc094f-3242-4a1b-ac67-cee41ea39011","https://image-assets.m.nintendo.com/b1aa449a-08de-41e0-8370-69707c371c35"
27,"Yoshi Underwater BGM",116288,True,False,"关卡|耀西","","36c956b5-4f64-4644-9da3-8b5a5c9d486f","https://image-assets.m.nintendo.com/c727d7dd-d841-4d15-a8d7-238bca8ca59c"
28,"\"Hurry Up!\" Yoshi Underwater BGM",99744,True,False,"关卡","","d73042a6-9591-4ab1-b423-592c32efc958","https://image-assets.m.nintendo.com/a72b6f02-14e6-4a04-ac27-53828e39d403"
29,"Player Down",3258,False,False,"","","4b6b84b6-8bae-48ec-a76d-cd5e5e95682a","https://image-assets.m.nintendo.com/c010acd3-9fcb-4144-ac8a-6387a68c3748"
30,"Game Over",5336,False,False,"","","c1036133-55f4-46c5-a71c-42b58dab7384","https://image-assets.m.nintendo.com/5646d78f-b3a5-443c-8393-bec48ca782a0"
31,"Forest of Illusion (Map Screen)",45311,True,True,"Dinosaur Land","","1aaba1b6-06d7-4f81-a6f3-9bc8b1f54fcf","https://image-assets.m.nintendo.com/2fcef56c-e7ea-4627-a5b4-235358995338"
32,"Ghost House BGM",206741,True,True,"关卡|害羞幽灵","","69bd896d-3203-40b0-baba-cbc469ab35c1","https://image-assets.m.nintendo.com/5500744e-aa48-41b8-b647-d57c586f3e23"
33,"\"Hurry Up!\" Ghost House BGM",140633,True,False,"关卡","","bc8aaeb5-4fef-4581-b63c-b37998189f1d","https://image-assets.m.nintendo.com/40b41cf9-6b28-4fb4-9066-4052f7de226c"
34,"Castle BGM",175374,True,True,"关卡","","51481e05-7391-41a2-b3dd-5969fa828fa9","https://image-assets.m.nintendo.com/f68b4fbe-2ee4-49af-9348-f4173e0137a3"
35,"\"Hurry Up!\" Castle BGM",128638,True,False,"关卡","","6c9d2e49-9684-4b46-8bcd-1a7e1e1f2d82","https://image-assets.m.nintendo.com/1ca84243-a096-47ec-8fa1-b8cff9d4158f"
36,"Koopalings BGM",115077,True,True,"","强敌","b8fa5e17-7817-4b8b-9f06-438f2f2d326a","https://image-assets.m.nintendo.com/87379378-3354-4a39-ba06-3f56e37996be"
37,"\"Hurry Up!\" Koopalings BGM",98768,True,False,"","","5ceafbb2-1ac6-43b2-a7f4-b66e27c60184","https://image-assets.m.nintendo.com/668aef01-a016-43df-a27c-6ef12a78510e"
38,"Castle Clear",8126,False,True,"","Win!","36e7931f-c174-496e-80b5-fac08f289d23","https://image-assets.m.nintendo.com/f75b1841-e620-47b0-9692-9a4d04ea5632"
39,"Castle Clear Scene: Rescuing an Egg",4294,False,False,"","","c14e825d-da3a-4c3f-907b-87a3c284da78","https://image-assets.m.nintendo.com/d9312ab8-28b1-48ed-abca-1f97aa5e511c"
40,"Castle Clear Scene BGM",12576,False,False,"","","44e0535c-3fdf-462b-bf16-daf3b23502a9","https://image-assets.m.nintendo.com/8097e54c-f694-4062-bf7b-0e13118409af"
41,"Bowser's Castle Appears",6365,False,False,"酷霸","","13f175f9-34e1-4eae-86f2-281b165b26fe","https://image-assets.m.nintendo.com/8978e304-33ec-4eec-8314-58eae74e0959"
42,"Valley of Bowser (Map Screen)",34466,True,True,"Dinosaur Land|酷霸","","c5b19bc7-9fd7-4778-90c4-23207a80118e","https://image-assets.m.nintendo.com/5ca979ff-8b97-47cd-8acf-f6172b4bebf9"
43,"Bowser BGM (Phase 1)",119619,True,True,"酷霸","","e3c0bd39-21b2-4a03-8fc9-cae1f2e3edb4","https://image-assets.m.nintendo.com/0630653c-3804-4c92-8465-6af0f7ca35c2"
44,"Bowser BGM (Phase 2)",100761,True,False,"酷霸","","164a196b-935d-4275-87b5-d5be0515fcb0","https://image-assets.m.nintendo.com/a5ae46ab-a5ac-4061-9c4a-9bd450e67855"
45,"Bowser BGM (Phase 3)",94490,True,False,"酷霸","","394c3339-294b-44ad-b0c8-d366a3b9d609","https://image-assets.m.nintendo.com/7c23f4ae-bd61-4528-89ea-93299578f2e9"
46,"Rescuing Princess Peach",15882,False,True,"碧姬","Win!","49390c89-284a-4b7f-951a-6cfdd85c8f5d","https://image-assets.m.nintendo.com/24d95154-e550-44c8-9b7d-e33fe159dec3"
47,"Ending",247873,False,True,"","","27c792bd-ea8a-4703-8ea7-c684ea8ae506","https://image-assets.m.nintendo.com/b50a4faa-bf6e-4d30-bbdd-2fd6031fb5f0"
48,"Star World (Map Screen)",37740,True,False,"Dinosaur Land","步行","7fa89fb6-a932-49eb-9704-e3cfb4a1546f","https://image-assets.m.nintendo.com/87997064-a583-491a-8cbb-4a0e9cca2385"
49,"Special World (Map Screen)",304406,True,False,"Dinosaur Land","","f10511fc-3664-4a5f-b3c6-5c32dacd2341","https://image-assets.m.nintendo.com/e5518afa-aed3-4567-91d1-849c972b89ed"
